Area,BBS_thana,HCR_upper_2022,SE,Population_2022
Paltan,Paltan,1.0,1.1,43063
Biman Bandar,Bimanbandar,1.4,1.0,5787
Dhanmondi,Dhanmondi,1.5,0.9,86965
New Market,Newmarket,1.7,1.0,39372
Shahbagh,Shahbag,1.9,1.2,31108
Gendaria,Gendaria,2.4,1.5,126731
Sher-e-Bangla Nagar,Sher-E-Bangla Nagar,2.7,1.4,131262
Sutrapur,Sutrapur,2.8,1.9,70805
Cantonment,Cantonment,2.9,1.4,121394
Gulshan,Gulshan,3.2,2.0,93066
Kalabagan,Kalabagan,3.4,1.7,95247
Motijheel,Motijheel,3.6,2.2,61101
Bangshal,Bangshal,4.2,2.6,141268
Ramna,Ramna,4.4,1.3,178049
Bosila,Mohammadpur (proxy),4.6,1.8,469673
Mohammadpur,Mohammadpur,4.6,1.8,469673
Sabujbagh,Sabujbag,5.1,2.0,247294
Khilgaon,Khilgaon,6.1,1.9,358729
Banasree,Rampura (proxy),6.3,2.5,146398
Rampura,Rampura,6.3,2.5,146398
Hazaribagh,Hazaribag,6.3,3.8,187043
Tejgaon,Tejgaon,6.5,2.9,101421
Pallabi,Pallabi,6.6,1.6,562094
Kafrul,Kafrul,7.2,3.3,305702
Badda,Badda,7.4,1.9,342175
Chawkbazar,Chawkbazar,7.5,3.1,103441
Khilkhet,Khilkhet,7.7,3.8,157142
Keraniganj,Keraniganj,8.1,2.1,953448
Kadamtali,Kadamtali,8.3,1.8,400295
Lalbagh,Lalbag,8.9,1.8,168410
Shyampur,Shyampur,9.4,4.4,157327
Jatrabari,Jatrabari,9.4,1.5,452493
Adabor,Adabar,9.8,2.0,198174
Mirpur,Mirpur,12.6,1.5,500942
Demra,Demra,13.0,2.3,264541
Kamrangirchar,Kamrangichar,19.1,3.3,352807
